Hexagon Center,Number of Pixels,Alignment Metric
"(0.0, 0.0)",1188,0.5120666050034266
"(173.20508075688772, 0.0)",2917,0.5770763458357303
"(346.41016151377545, 0.0)",nan,nan
"(519.6152422706632, 0.0)",2755,0.06443371343832131
"(692.8203230275509, 0.0)",3095,0.10978852379316888
"(866.0254037844386, 0.0)",3543,0.4771024255654904
"(1039.2304845413264, 0.0)",1475,0.3612935076087689
"(86.60254037844386, 150.0)",6297,0.19778734474410248
"(259.8076211353316, 150.0)",1815,0.36838015552635134
"(433.0127018922193, 150.0)",3682,0.30449099686035674
"(606.2177826491071, 150.0)",3136,0.05439155520123545
"(779.4228634059948, 150.0)",6285,0.2631454200647658
"(952.6279441628825, 150.0)",4101,0.6693935668174882
"(1125.8330249197702, 150.0)",nan,nan
"(0.0, 300.0)",1979,0.5301565513136656
"(173.20508075688772, 300.0)",2515,0.7022992278069731
"(346.41016151377545, 300.0)",3336,0.4316247926158149
"(519.6152422706632, 300.0)",4820,0.35532527521171453
"(692.8203230275509, 300.0)",3348,0.45416595685294314
"(866.0254037844386, 300.0)",5315,0.3743187745054798
"(1039.2304845413264, 300.0)",2231,0.4123249642866259
"(86.60254037844386, 450.0)",2369,0.24403638293466481
"(259.8076211353316, 450.0)",2197,0.3805834678688711
"(433.0127018922193, 450.0)",4335,0.05773295654126607
"(606.2177826491071, 450.0)",2415,0.48749139780683337
"(779.4228634059948, 450.0)",3162,0.5932730354923763
"(952.6279441628825, 450.0)",4493,0.5580002141240865
"(1125.8330249197702, 450.0)",nan,nan
"(0.0, 600.0)",348,0.4354217149923285
"(173.20508075688772, 600.0)",5018,0.33019458169538923
"(346.41016151377545, 600.0)",4105,0.14908077422861127
"(519.6152422706632, 600.0)",4940,0.3630741635061361
"(692.8203230275509, 600.0)",2111,0.5280708840478873
"(866.0254037844386, 600.0)",4036,0.2223741387967791
"(1039.2304845413264, 600.0)",nan,nan
"(86.60254037844386, 750.0)",4030,0.09447196601282765
"(259.8076211353316, 750.0)",4937,0.3292508085068937
"(433.0127018922193, 750.0)",2605,0.42092812745423863
"(606.2177826491071, 750.0)",2640,0.22091503836526843
"(779.4228634059948, 750.0)",4004,0.26349475744210654
"(952.6279441628825, 750.0)",1104,0.42346012912544667
"(1125.8330249197702, 750.0)",nan,nan
"(0.0, 900.0)",nan,nan
"(173.20508075688772, 900.0)",3610,0.19513151509255805
"(346.41016151377545, 900.0)",nan,nan
"(519.6152422706632, 900.0)",5678,0.2955857367580178
"(692.8203230275509, 900.0)",4096,0.27445499021147635
"(866.0254037844386, 900.0)",3914,0.5421685553343653
"(1039.2304845413264, 900.0)",nan,nan
"(86.60254037844386, 1050.0)",nan,nan
"(259.8076211353316, 1050.0)",nan,nan
"(433.0127018922193, 1050.0)",nan,nan
"(606.2177826491071, 1050.0)",1827,0.3869862464530225
"(779.4228634059948, 1050.0)",1898,0.25296001796547823
"(952.6279441628825, 1050.0)",nan,nan
"(1125.8330249197702, 1050.0)",nan,nan
